Machine_ID,Machine_Type,Timestamp,Air_Temperature_K,Process_Temperature_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,TWF,HDF,PWF,OSF,Machine_Failure
M001,L,2024-01-01 08:00:00,299.76,310.99,1400.75,45.61,22.25,0,0,0,0,0
M001,L,2024-01-01 08:02:00,299.7,311.26,1375.88,43.43,22.69,0,0,0,0,0
M001,L,2024-01-01 08:04:00,299.22,310.96,1369.07,44.86,22.95,0,0,0,0,0
M001,L,2024-01-01 08:06:00,300.52,311.09,1381.87,41.75,23.14,0,0,0,0,0
M001,L,2024-01-01 08:08:00,299.5,311.29,1373.8,43.8,23.21,0,0,0,0,0
M001,L,2024-01-01 08:10:00,299.98,310.89,1390.69,42.15,23.44,0,0,0,0,0
M001,L,2024-01-01 08:12:00,299.48,311.29,1389.47,44.68,23.7,0,0,0,0,0
M001,L,2024-01-01 08:14:00,299.99,311.17,1362.76,43.09,23.82,0,0,0,0,0
M001,L,2024-01-01 08:16:00,300.2,310.76,1384.24,43.71,24.02,0,0,0,0,0
M001,L,2024-01-01 08:18:00,299.82,311.51,1392.36,46.12,24.46,0,0,0,0,0
M001,L,2024-01-01 08:20:00,299.78,311.26,1383.9,46.21,24.54,0,0,0,0,0
M001,L,2024-01-01 08:22:00,299.69,311.01,1389.61,46.9,24.62,0,0,0,0,0
M001,L,2024-01-01 08:24:00,300.3,311.21,1384.0,47.25,24.86,0,0,0,0,0
M001,L,2024-01-01 08:26:00,299.14,311.68,1380.51,43.97,25.1,0,0,0,0,0
M001,L,2024-01-01 08:28:00,300.12,311.57,1396.99,43.6,25.36,0,0,0,0,0
M001,L,2024-01-01 08:30:00,299.91,311.33,1390.17,45.14,25.44,0,0,0,0,0
M001,L,2024-01-01 08:32:00,300.3,311.8,1370.66,43.97,25.56,0,0,0,0,0
M001,L,2024-01-01 08:34:00,300.4,311.61,1378.97,44.16,25.78,0,0,0,0,0
M001,L,2024-01-01 08:36:00,300.17,311.32,1376.86,45.32,25.92,0,0,0,0,0
M001,L,2024-01-01 08:38:00,300.44,311.57,1355.49,44.58,26.25,0,0,0,0,0
M001,L,2024-01-01 08:40:00,300.38,312.35,1376.16,45.17,26.32,0,0,0,0,0
M001,L,2024-01-01 08:42:00,300.84,311.87,1387.76,43.02,26.56,0,0,0,0,0
M001,L,2024-01-01 08:44:00,300.64,312.33,1366.13,43.67,26.87,0,0,0,0,0
M001,L,2024-01-01 08:46:00,299.81,311.72,1365.04,45.57,27.15,0,0,0,0,0
M001,L,2024-01-01 08:48:00,300.14,311.63,1387.38,42.52,27.36,0,0,0,0,0
M001,L,2024-01-01 08:50:00,299.84,311.82,1380.51,46.17,27.63,0,0,0,0,0
M001,L,2024-01-01 08:52:00,300.72,311.88,1380.24,45.41,27.82,0,0,0,0,0
M001,L,2024-01-01 08:54:00,300.64,311.6,1399.56,45.64,27.9,0,0,0,0,0
M001,L,2024-01-01 08:56:00,300.16,312.07,1390.96,43.33,28.04,0,0,0,0,0
M001,L,2024-01-01 08:58:00,300.91,312.44,1373.79,43.49,28.43,0,0,0,0,0
M001,L,2024-01-01 09:00:00,300.57,311.99,1379.94,46.35,28.58,0,0,0,0,0
M001,L,2024-01-01 09:02:00,300.52,312.74,1383.92,43.34,28.83,0,0,0,0,0
M001,L,2024-01-01 09:04:00,300.22,312.09,1373.68,46.17,28.89,0,0,0,0,0
M001,L,2024-01-01 09:06:00,300.86,311.95,1365.86,42.2,29.31,0,0,0,0,0
M001,L,2024-01-01 09:08:00,300.78,311.63,1377.95,45.64,29.49,0,0,0,0,0
M001,L,2024-01-01 09:10:00,300.74,311.68,1380.09,45.97,29.58,0,0,0,0,0
M001,L,2024-01-01 09:12:00,300.19,311.77,1381.71,45.92,29.91,0,0,0,0,0
M001,L,2024-01-01 09:14:00,300.98,313.24,1382.04,47.08,30.32,0,0,0,0,0
M001,L,2024-01-01 09:16:00,300.67,312.35,1365.61,44.64,30.69,0,0,0,0,0
M001,L,2024-01-01 09:18:00,301.74,311.58,1383.07,42.17,30.76,0,0,0,0,0
