Machine_ID,Machine_Type,Timestamp,Air_Temperature_K,Process_Temperature_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,TWF,HDF,PWF,OSF,Machine_Failure
M001,L,2024-01-03 13:20:00,306.14,319.29,1240.18,60.82,201.75,0,0,0,0,0
M001,L,2024-01-03 13:22:00,304.78,319.93,1240.79,64.62,201.84,0,0,0,0,0
M001,L,2024-01-03 13:24:00,306.09,319.86,1217.14,62.98,202.03,0,0,0,0,0
M001,L,2024-01-03 13:26:00,305.81,319.14,1225.34,63.17,202.46,0,0,0,0,0
M001,L,2024-01-03 13:28:00,306.15,319.62,1214.58,59.46,202.64,0,0,0,0,0
M001,L,2024-01-03 13:30:00,305.89,319.97,1230.76,61.74,202.84,0,0,0,0,0
M001,L,2024-01-03 13:32:00,306.54,319.82,1235.51,62.72,203.05,0,0,0,0,0
M001,L,2024-01-03 13:34:00,306.63,319.57,1217.55,61.14,203.41,0,0,0,0,0
M001,L,2024-01-03 13:36:00,306.31,319.5,1243.1,62.13,203.62,0,0,0,0,0
M001,L,2024-01-03 13:38:00,305.4,319.64,1229.12,59.98,203.97,0,0,0,0,0
M001,L,2024-01-03 13:40:00,305.56,319.99,1225.6,62.38,204.26,0,0,0,0,0
M001,L,2024-01-03 13:42:00,305.96,319.69,1238.19,60.63,204.71,0,0,0,0,0
M001,L,2024-01-03 13:44:00,306.34,319.47,1218.83,64.64,205.07,0,0,0,0,0
M001,L,2024-01-03 13:46:00,306.4,319.66,1246.16,62.03,205.18,0,0,0,0,0
M001,L,2024-01-03 13:48:00,306.07,320.49,1220.68,62.08,205.31,0,0,0,0,0
M001,L,2024-01-03 13:50:00,305.9,319.42,1237.57,62.15,205.39,0,0,0,0,0
M001,L,2024-01-03 13:52:00,306.72,319.76,1246.92,62.78,205.74,0,0,0,0,0
M001,L,2024-01-03 13:54:00,305.41,319.64,1233.66,62.67,205.83,0,0,0,0,0
M001,L,2024-01-03 13:56:00,305.2,320.74,1223.0,64.36,206.21,0,0,0,0,0
M001,L,2024-01-03 13:58:00,305.63,318.82,1227.78,62.54,206.35,0,0,0,0,0
M001,L,2024-01-03 14:00:00,305.83,319.68,1233.11,62.58,206.47,0,0,0,0,0
M001,L,2024-01-03 14:02:00,306.17,319.57,1226.53,63.59,206.69,0,0,0,0,0
M001,L,2024-01-03 14:04:00,306.43,319.29,1218.27,63.9,206.99,0,0,0,0,0
M001,L,2024-01-03 14:06:00,306.61,319.46,1235.54,60.56,207.06,0,0,0,0,0
M001,L,2024-01-03 14:08:00,306.05,319.98,1243.48,58.96,207.24,0,0,0,0,0
M001,L,2024-01-03 14:10:00,305.21,319.3,1247.47,61.76,207.35,0,0,0,0,0
M001,L,2024-01-03 14:12:00,305.62,319.12,1232.8,65.4,207.78,0,0,0,0,0
M001,L,2024-01-03 14:14:00,305.27,319.41,1234.03,64.12,207.85,0,0,0,0,0
M001,L,2024-01-03 14:16:00,305.68,319.32,1226.01,62.61,208.12,0,0,0,0,0
M001,L,2024-01-03 14:18:00,306.43,319.4,1212.4,65.47,208.51,0,0,0,0,0
M001,L,2024-01-03 14:20:00,306.03,319.86,1230.56,61.57,208.84,0,0,0,0,0
M001,L,2024-01-03 14:22:00,305.92,319.96,1225.74,61.16,208.94,0,0,0,0,0
M001,L,2024-01-03 14:24:00,306.87,319.65,1238.72,63.87,209.35,1,0,0,0,0
M001,L,2024-01-03 14:26:00,304.71,319.28,1232.36,58.08,209.73,1,0,0,0,0
M001,L,2024-01-03 14:28:00,306.16,319.77,1239.69,65.89,209.99,1,0,0,0,0
M001,L,2024-01-03 14:30:00,305.76,319.62,1224.56,65.05,210.39,1,0,0,0,0
M001,L,2024-01-03 14:32:00,306.34,319.5,1216.19,63.06,210.79,1,0,0,0,0
M001,L,2024-01-03 14:34:00,305.46,319.54,1238.68,61.81,210.95,1,0,0,0,0
M001,L,2024-01-03 14:36:00,305.89,319.74,1226.65,63.19,211.26,1,0,0,0,0
M001,L,2024-01-03 14:38:00,306.14,319.99,1215.71,66.35,211.66,1,0,0,0,1
M001,L,2024-01-03 14:40:00,305.66,320.17,1223.04,64.48,212.03,1,0,0,0,0
M001,L,2024-01-03 14:42:00,305.8,320.0,1222.33,62.49,212.43,1,0,0,0,0
M001,L,2024-01-03 14:44:00,305.57,319.92,1218.81,65.37,212.63,1,0,0,0,0
M001,L,2024-01-03 14:46:00,306.07,319.48,1217.17,62.09,212.69,1,0,0,0,0
M001,L,2024-01-03 14:48:00,305.46,319.85,1227.85,61.27,212.75,1,0,0,0,0
M001,L,2024-01-03 14:50:00,304.86,319.46,1234.54,63.04,212.83,1,0,0,0,0
M001,L,2024-01-03 14:52:00,305.57,319.73,1243.08,60.57,213.17,1,0,0,0,0
M001,L,2024-01-03 14:54:00,305.76,319.5,1222.3,65.63,213.41,1,0,0,0,0
M001,L,2024-01-03 14:56:00,305.57,319.27,1222.49,63.27,213.57,1,0,0,0,0
M001,L,2024-01-03 14:58:00,305.37,319.53,1231.55,63.61,213.76,1,0,0,0,0
M001,L,2024-01-03 15:00:00,305.97,319.35,1232.41,64.57,213.96,1,0,0,0,0
M001,L,2024-01-03 15:02:00,305.85,319.74,1219.78,62.44,214.24,1,0,0,0,0
M001,L,2024-01-03 15:04:00,305.35,319.14,1232.65,67.54,214.3,1,0,0,0,0
M001,L,2024-01-03 15:06:00,305.62,318.96,1216.22,63.34,214.42,1,0,0,0,0
M001,L,2024-01-03 15:08:00,305.08,319.7,1242.04,64.15,214.6,1,0,0,0,0
M001,L,2024-01-03 15:10:00,305.41,318.81,1212.54,63.46,214.76,1,0,0,0,0
M001,L,2024-01-03 15:12:00,305.76,319.45,1236.9,64.02,214.87,1,0,0,0,0
M001,L,2024-01-03 15:14:00,305.03,319.27,1215.21,63.22,215.19,1,0,0,0,0
M001,L,2024-01-03 15:16:00,305.25,319.28,1223.57,65.56,215.34,1,0,0,0,0
M001,L,2024-01-03 15:18:00,305.02,319.26,1216.82,64.23,215.62,1,0,0,0,0
M001,L,2024-01-03 15:20:00,305.26,319.07,1191.46,61.26,215.95,1,0,0,0,0
M001,L,2024-01-03 15:22:00,306.05,319.64,1210.92,61.5,216.25,1,0,0,0,0
M001,L,2024-01-03 15:24:00,305.53,319.05,1228.1,64.82,216.43,1,0,0,0,0
M001,L,2024-01-03 15:26:00,306.04,319.35,1246.05,63.83,216.64,1,0,0,0,0
M001,L,2024-01-03 15:28:00,305.31,318.87,1206.4,65.03,216.91,1,0,0,0,1
M001,L,2024-01-03 15:30:00,305.34,319.19,1213.6,63.0,216.97,1,0,0,0,0
M001,L,2024-01-03 15:32:00,304.98,319.62,1242.86,64.63,217.36,1,0,0,0,0
M001,L,2024-01-03 15:34:00,304.78,319.87,1235.09,64.65,217.68,1,0,0,0,1
M001,L,2024-01-03 15:36:00,305.38,318.91,1217.56,64.62,218.12,1,0,0,0,0
M001,L,2024-01-03 15:38:00,304.94,319.18,1205.22,61.2,218.23,1,0,0,0,0
M001,L,2024-01-03 15:40:00,305.54,319.12,1215.26,62.73,218.67,1,0,0,0,0
M001,L,2024-01-03 15:42:00,305.68,319.05,1226.91,63.49,218.95,1,0,0,0,0
M001,L,2024-01-03 15:44:00,305.61,319.43,1209.01,61.63,219.18,1,0,0,0,0
M001,L,2024-01-03 15:46:00,305.34,319.08,1227.93,65.15,219.29,1,0,0,0,0
M001,L,2024-01-03 15:48:00,305.43,318.99,1217.98,64.2,219.56,1,0,0,0,0
M001,L,2024-01-03 15:50:00,305.71,319.3,1213.46,65.7,219.61,1,0,0,0,0
M001,L,2024-01-03 15:52:00,305.47,319.68,1221.23,62.11,219.78,1,0,0,0,0
M001,L,2024-01-03 15:54:00,299.35,310.61,1410.88,45.3,7.58,0,0,0,0,0
M001,L,2024-01-03 15:56:00,299.94,310.06,1389.75,45.18,7.79,0,0,0,0,0
M001,L,2024-01-03 15:58:00,298.89,310.49,1386.23,43.41,8.18,0,0,0,0,0
M001,L,2024-01-03 16:00:00,298.65,310.86,1388.37,43.12,8.35,0,0,0,0,0
M001,L,2024-01-03 16:02:00,298.96,310.18,1384.28,43.52,8.6,0,0,0,0,0
M001,L,2024-01-03 16:04:00,299.14,311.0,1404.93,44.36,9.04,0,0,0,0,0
M001,L,2024-01-03 16:06:00,299.35,310.46,1394.44,44.19,9.28,0,0,0,0,0
M001,L,2024-01-03 16:08:00,299.69,310.32,1385.67,44.12,9.7,0,0,0,0,0
M001,L,2024-01-03 16:10:00,299.71,310.35,1372.66,42.64,10.14,0,0,0,0,0
M001,L,2024-01-03 16:12:00,298.93,310.33,1386.8,45.48,10.42,0,0,0,0,0
M001,L,2024-01-03 16:14:00,299.62,310.33,1376.58,41.46,10.66,0,0,0,0,0
M001,L,2024-01-03 16:16:00,299.43,310.37,1394.5,43.6,11.0,0,0,0,0,0
M001,L,2024-01-03 16:18:00,299.73,310.45,1378.91,42.04,11.43,0,0,0,0,0
M001,L,2024-01-03 16:20:00,299.71,310.18,1387.07,42.02,11.66,0,0,0,0,0
M001,L,2024-01-03 16:22:00,299.4,310.39,1400.13,43.01,11.96,0,0,0,0,0
M001,L,2024-01-03 16:24:00,298.95,310.43,1407.29,40.08,12.12,0,0,0,0,0
M001,L,2024-01-03 16:26:00,299.17,310.62,1387.9,43.97,12.24,0,0,0,0,0
M001,L,2024-01-03 16:28:00,299.62,310.16,1399.29,43.33,12.33,0,0,0,0,0
M001,L,2024-01-03 16:30:00,299.45,310.36,1388.44,43.74,12.72,0,0,0,0,0
